,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover,macd_diff_dea,macd_dea_k,macd_macd_self,macd_sum,macd_result,macd,macd_signal,macd_hist
2015-12-22,15.15,15.15,15.15,15.15,250.0,4.63,44.01,15.15,15.15,15.15,250.0,250.0,250.0,0.05,,,,,,,,
2015-12-23,16.67,16.67,16.67,16.67,92.0,1.52,10.03,15.91,15.91,15.91,171.0,171.0,171.0,0.02,,,,,,,,
2015-12-24,18.34,18.34,18.34,18.34,103.0,1.67,10.02,16.72,16.72,16.72,148.33,148.33,148.33,0.02,,,,,,,,
2015-12-25,20.17,20.17,20.17,20.17,237.0,1.83,9.98,17.583,17.583,17.583,170.5,170.5,170.5,0.05,,,,,,,,
2015-12-28,22.19,22.19,22.19,22.19,268.56,2.02,10.02,18.504,18.504,18.504,190.11,190.11,190.11,0.05,,,,,,,,
2015-12-29,24.41,24.41,24.41,24.41,249.54,2.22,10.01,20.356,19.488,19.488,190.02,200.02,200.02,0.05,,,,,,,,
2015-12-30,26.85,26.85,26.85,26.85,183.0,2.44,10.0,22.392,20.54,20.54,208.22,197.59,197.59,0.04,,,,,,,,
2015-12-31,29.54,29.54,29.54,29.54,575.0,2.69,10.02,24.632,21.665,21.665,302.62,244.76,244.76,0.11,,,,,,,,
2016-01-04,32.49,32.49,32.49,32.49,1451.0,2.95,9.99,27.096,22.868,22.868,545.42,378.79,378.79,0.29,,,,,,,,
2016-01-05,35.74,35.74,35.74,35.74,2315.29,3.25,10.0,29.806,24.155,24.155,954.77,572.44,572.44,0.46,,,,,,,,
2016-01-06,39.31,39.31,39.31,39.31,545.0,3.57,9.99,32.786,26.571,25.533,1013.86,601.94,569.94,0.11,,,,,,,,
2016-01-07,43.24,43.24,43.24,43.24,1237.0,3.93,10.0,36.064,29.228,27.008,1224.66,716.44,625.53,0.25,,,,,,,,
2016-01-08,47.56,47.56,47.56,47.56,5902.31,4.32,9.99,39.668,32.15,28.589,2290.12,1296.37,1031.44,1.18,,,,,,,,
2016-01-11,52.32,52.32,52.32,52.32,56544.94,4.76,10.01,43.634,35.365,30.284,13308.91,6927.16,4996.69,11.29,,,,,,,,
2016-01-12,50.0,50.0,47.09,47.09,171948.81,-5.23,-10.0,45.904,37.855,31.405,47235.61,24095.19,16126.83,34.32,,,,,,,,
2016-01-13,42.38,44.74,42.38,42.38,169980.48,-4.71,-10.0,46.518,39.652,32.091,81122.71,41068.28,25742.68,33.93,,,,,,,,
